image,basename,rotate,flip_0,flip_1,source,species,modality
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#cgp5#5755#30#L_0000.nii.gz,mr#rh#11530#L#cgp5#5755#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#uk14#5781#30#L_0000.nii.gz,mr#rh#11530#L#uk14#5781#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#oxot#5775#30#L_0000.nii.gz,mr#rh#11530#L#oxot#5775#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#ampa#5761#30#L_0000.nii.gz,mr#rh#11530#L#ampa#5761#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#flum#5753#30#L_0000.nii.gz,mr#rh#11530#L#flum#5753#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#dpat#5785#30#L_0000.nii.gz,mr#rh#11530#L#dpat#5785#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#keta#5777#30#L_0000.nii.gz,mr#rh#11530#L#keta#5777#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#damp#5757#30#L_0000.nii.gz,mr#rh#11530#L#damp#5757#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#musc#5767#30#L_0000.nii.gz,mr#rh#11530#L#musc#5767#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#praz#5773#30#L_0000.nii.gz,mr#rh#11530#L#praz#5773#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#mk80#5765#30#L_0000.nii.gz,mr#rh#11530#L#mk80#5765#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#pire#5769#30#L_0000.nii.gz,mr#rh#11530#L#pire#5769#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RG#hg#MR1s6#R#mk80#5683#11#L_crop_0000.nii.gz,RG#hg#MR1s6#R#mk80#5683#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#afdx#5673#11#L_crop_0000.nii.gz,QW#HG#MR1s1#R#afdx#5673#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RD#HG#MR1s3#R#epib#5800#11#L_crop_0000.nii.gz,RD#HG#MR1s3#R#epib#5800#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#kain#5635#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#kain#5635#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#keta#5647#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#keta#5647#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RF#hg#MR1s5#R#musc#6226#11#L_crop_0000.nii.gz,RF#hg#MR1s5#R#musc#6226#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1S1#R#dpmg#5665#16#L_crop_0000.nii.gz,QW#HG#MR1S1#R#dpmg#5665#16#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#dpat#5645#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#dpat#5645#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#afdx#5673#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#afdx#5673#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1S1#R#pire#9511#13#L_crop_0000.nii.gz,QW#HG#MR1S1#R#pire#9511#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1S1#R#flum#5669#13#L_crop_0000.nii.gz,QW#HG#MR1S1#R#flum#5669#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#praz#5649#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#praz#5649#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#ly34#5675#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#ly34#5675#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QY#HG#MR1s2#R#damp#6195#11#L_crop_0000.nii.gz,QY#HG#MR1s2#R#damp#6195#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RF#HG#MR1S5#R#pire#9530#11#L_crop_0000.nii.gz,RF#HG#MR1S5#R#pire#9530#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#epib#5657#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#epib#5657#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#rx82#5653#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#rx82#5653#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#damp#5671#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#damp#5671#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#mk80#5637#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#mk80#5637#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RG#hg#MR1s6#R#praz#5695#11#L_crop_0000.nii.gz,RG#hg#MR1s6#R#praz#5695#11#L,0,False,False,original,human,autoradiography
